Road Code,Section Code,Road Name,Section Name,Direction,AVERAGE DAILY TRAFFIC - PCU,AVERAGE DAILY TRAFFIC - ADT,Private Vehicles,Trucks - Light,Trucks - Medium,Trucks - Heavy,Buses
F0127,010,Α1 - ΜΟΥΤΑΓΙΑΚΑ,Α1 - ΜΟΥΤΑΓΙΑΚΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0128,010,ΓΕΡΜΑΣΟΓΕΙΑ- ΑΡΑΚΑΠΑΣ,ΓΕΡΜΑΣΟΓΕΙΑ- ΦΟΙΝΙΚΑΡΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1507,1379,1172,144,30,11,23
F0128,020,ΓΕΡΜΑΣΟΓΕΙΑ- ΑΡΑΚΑΠΑΣ,ΦΟΙΝΙΚΑΡΙΑ - ΑΚΡΟΥΝΤΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1070,970,826,93,30,9,11
F0128,030,ΓΕΡΜΑΣΟΓΕΙΑ- ΑΡΑΚΑΠΑΣ,ΑΚΡΟΥΝΤΑ - ΑΡΑΚΑΠΑΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,658,562,439,75,30,7,11
F0129,010,ΕΠΤΑΓΩΝΙΑ - ΚΑΛΟ ΧΩΡΙΟ,ΕΠΤΑΓΩΝΙΑ - ΑΡΑΚΑΠΑΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1125,897,635,148,78,21,16
F0129,020,ΕΠΤΑΓΩΝΙΑ - ΚΑΛΟ ΧΩΡΙΟ,ΑΡΑΚΑΠΑΣ - ΚΑΛΟ ΧΩΡΙΟ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,302,256,108,125,11,9,2
F0131,010,ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ - ΦΑΣΟΥΛΑ,ΑΓΙΟΣ ΑΘΑΝΑΣΙΟΣ - ΦΑΣΟΥΛΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1116,924,443,385,78,10,8
F0132,010,ΠΑΡΑΜΥΘΑ - ΣΠΙΤΑΛΙ,ΠΑΡΑΜΥΘΑ - ΣΠΙΤΑΛΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0133,010,ΠΑΛΩΔΙΑ - ΣΠΙΤΑΛΙ,ΠΑΛΩΔΙΑ - ΣΠΙΤΑΛΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0134,010,ΓΕΡΑΣΑ - ΜΑΘΙΚΟΛΟΝΗ,ΓΕΡΑΣΑ - ΑΨΙΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1165,1074,859,169,36,5,5
