objectid,id_centrale,code_centrale,libelle_centrale,annee,libelle_groupage,type_compteur,type_comptage,nb_canaux,nb_annee,code_canal,mja_jo,mja_tcj,mja_pl_tcj,hp_johvs_matin,hp_johvs_soir,tir_tcj,v85ma_tcj,vtma_tcj,descriptif_periode,time_days,name,oneway,ref_mmm,highway,nom_commune,cycles,osm_id
6373,83528,113791,MONTPELLIER. Rue Claude Levi-Strauss,2024,Mericourt_Justes,compteur ponctuel,comptage bidirectionnel,3,1,1,735,676,,51 (12h00 - 13h00),88 (18h00 - 19h00),,29,20,du 10/01/2024 au 16/01/2024,6,Rue Claude Lévi-Strauss,UNKNOWN, ,residential,Montpellier, ,244238707
6382,995,114143,MONTPELLIER. Avenue de Lodeve,2024,Alco_Bringuier,compteur feux,comptage unidirectionnel,1,8,0,3417,3133,,287 (8h00 - 9h00),230 (16h00 - 17h00),,,,du 01/01/2024 au 29/10/2024,302,Avenue de Lodève,NO, ,secondary,Montpellier, ,330997201
6397,746,115211,MONTPELLIER. Avenue du Pere Soulas,2024,Roumieux_Portaliere,compteur feux,comptage unidirectionnel,1,11,0,4183,3947,,320 (7h00 - 8h00),291 (17h00 - 18h00),,,,du 01/01/2024 au 29/10/2024,302,Avenue du Père Soulas,NO, ,secondary,Montpellier, ,351960392
7943,639,116,MONTPELLIER. RM986 PRES ARENES,2024,Sens cumulés,compteur permanent,comptage bidirectionnel,3,7,Z,49818,47833,,,,,,,du 01/01/2024 au 04/11/2024,308, ,YES, ,primary,Montpellier, ,7918883
7941,639,116,MONTPELLIER. RM986 PRES ARENES,2024,Pres d'Arenes_Palavas,compteur permanent,comptage bidirectionnel,3,7,0,28376,27293,,1772 (8h00 - 9h00),2028 (17h00 - 18h00),79,69,56,du 01/01/2024 au 04/11/2024,308, ,YES, ,primary,Montpellier, ,7918883
7942,639,116,MONTPELLIER. RM986 PRES ARENES,2024,Palavas_Pres d'Arenes,compteur permanent,comptage bidirectionnel,3,7,1,21442,20540,,1622 (7h00 - 8h00),1426 (17h00 - 18h00),65,69,52,du 01/01/2024 au 04/11/2024,308, ,YES, ,primary,Montpellier, ,7918883
5403,83548,11752,CASTRIES _ Avenue du 8 mai 1945,2024,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,1568,1412,0,,,,,,du 26/06/2024 au 03/07/2024,7,Avenue de la Gare,UNKNOWN, ,tertiary,Castries, ,27515247
5401,83548,11752,CASTRIES _ Avenue du 8 mai 1945,2024,Im.lierre _ Faisses,compteur ponctuel,comptage bidirectionnel,3,1,0,976,873,0,142 (8h00 - 9h00),112 (17h00 - 18h00),31,35,21,du 26/06/2024 au 03/07/2024,7,Avenue de la Gare,UNKNOWN, ,tertiary,Castries, ,27515247
5402,83548,11752,CASTRIES _ Avenue du 8 mai 1945,2024,Faisses _ Im.lierre,compteur ponctuel,comptage bidirectionnel,3,1,1,592,539,0,45 (11h30 - 12h30),81 (17h30 - 18h30),54,38,26,du 26/06/2024 au 03/07/2024,7,Avenue de la Gare,UNKNOWN, ,tertiary,Castries, ,27515247
5157,83545,11811,R ESTINCLIERES. RM118E3 Route de Beaulieu ,2024,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,1,Z,1783,1640,2,,,,,,du 20/06/2024 au 27/06/2024,7,Route de Beaulieu,UNKNOWN, ,tertiary,Restinclières, ,27228034
5156,83545,11811,R ESTINCLIERES. RM118E3 Route de Beaulieu ,2024,Galargues_Beaulieu,compteur ponctuel,comptage bidirectionnel,3,1,1,895,826,1,67 (11h30 - 12h30),111 (16h45 - 17h45),0,37,23,du 20/06/2024 au 27/06/2024,7,Route de Beaulieu,UNKNOWN, ,tertiary,Restinclières, ,27228034
5155,83545,11811,R ESTINCLIERES. RM118E3 Route de Beaulieu ,2024,Beaulieu_Galargues,compteur ponctuel,comptage bidirectionnel,3,1,0,888,814,1,95 (8h15 - 9h15),80 (17h00 - 18h00),0,36,22,du 20/06/2024 au 27/06/2024,7,Route de Beaulieu,UNKNOWN, ,tertiary,Restinclières, ,27228034
70,1966,118585,JUVIGNAC. Allee de l'Europe (Velos),2024,Sens cumulés,compteur permanent vélo,comptage bidirectionnel,3,3,Z,599,482,,,,,,,du 01/01/2024 au 04/11/2024,308, ,UNKNOWN, ,cycleway,Juvignac,Piste cyclable,249856379
69,1966,118585,JUVIGNAC. Allee de l'Europe (Velos),2024,Montpellier_Caunelles,compteur permanent vélo,comptage bidirectionnel,3,3,1,307,247,,21 (12h00 - 13h00),72 (17h00 - 18h00),,,,du 01/01/2024 au 04/11/2024,308, ,UNKNOWN, ,cycleway,Juvignac,Piste cyclable,249856379
68,1966,118585,JUVIGNAC. Allee de l'Europe (Velos),2024,Caunelles_Montpellier,compteur permanent vélo,comptage bidirectionnel,3,3,0,292,235,,106 (8h00 - 9h00),15 (13h00 - 14h00),,,,du 01/01/2024 au 04/11/2024,308, ,UNKNOWN, ,cycleway,Juvignac,Piste cyclable,249856379
6421,693,119614,MONTPELLIER. Avenue de Nimes,2024,Sens cumulés,compteur feux,comptage bidirectionnel,3,9,Z,18329,16317,,,,,,,du 01/01/2024 au 29/10/2024,302,Avenue de Nîmes,YES, ,secondary,Montpellier, ,310240826
6420,693,119614,MONTPELLIER. Avenue de Nimes,2024,Bestiaux_Vallois,compteur feux,comptage bidirectionnel,3,9,1,13816,12240,,1589 (8h00 - 9h00),1430 (17h00 - 18h00),,,,du 01/01/2024 au 29/10/2024,302,Avenue de Nîmes,YES, ,secondary,Montpellier, ,310240826
6419,693,119614,MONTPELLIER. Avenue de Nimes,2024,Vallois_Bestiaux,compteur feux,comptage bidirectionnel,3,9,0,4513,4077,,374 (8h00 - 9h00),478 (17h00 - 18h00),,,,du 01/01/2024 au 29/10/2024,302,Avenue de Nîmes,YES, ,secondary,Montpellier, ,310240826
1507,1335,119761,MONTPELLIER. Impasse de la Lironde,2024,Sens cumulés,compteur ponctuel,comptage bidirectionnel,3,2,Z,308,269,1,,,,,,du 04/09/2024 au 11/09/2024,7,Impasse de la Lironde,UNKNOWN, ,residential,Montpellier,Voie verte et assimilé,243062254
1506,1335,119761,MONTPELLIER. Impasse de la Lironde,2024,Thomassy_Font Froide,compteur ponctuel,comptage bidirectionnel,3,2,1,203,175,0,32 (8h00 - 9h00),19 (17h15 - 18h15),81,48,36,du 04/09/2024 au 11/09/2024,7,Impasse de la Lironde,UNKNOWN, ,residential,Montpellier,Voie verte et assimilé,243062254
