JAHR;MONAT;ZNR;ZNAME;STRTYP;STRNR;RINAME;FZTYP;DTVMS;DTVMF;DTVMO;DTVDD;DTVFR;DTVSA;DTVSF;TVMAX;TVMAXT
2024;MÄRZ;1196;Erzherzog-Karl-Str.;B;3;Kagran;Kfz;10521;11442;11144;11355;11887;9602;7570;12221;Fr,08.03.
2024;MÄRZ;1196;Erzherzog-Karl-Str.;B;3;Kagran;LkwÄ;459;557;554;567;535;278;231;600;Di,12.03.
2024;MÄRZ;1196;Erzherzog-Karl-Str.;B;3;Gesamt;Kfz;20860;22768;22106;22592;23721;19089;14618;24390;Fr,08.03.
2024;MÄRZ;1196;Erzherzog-Karl-Str.;B;3;Gesamt;LkwÄ;704;873;878;897;813;389;310;939;Di,19.03.
2024;MÄRZ;1197;Breitenleer Straße;G;0;Kagran;Kfz;-29;-29;-29;-29;-29;-29;-29;-29;0.00.
2024;MÄRZ;1197;Breitenleer Straße;G;0;Kagran;LkwÄ;-29;-29;-29;-29;-29;-29;-29;-29;0.00.
2024;MÄRZ;1197;Breitenleer Straße;G;0;Raasdorf;Kfz;-29;-29;-29;-29;-29;-29;-29;-29;0.00.
2024;MÄRZ;1197;Breitenleer Straße;G;0;Raasdorf;LkwÄ;-29;-29;-29;-29;-29;-29;-29;-29;0.00.
2024;MÄRZ;1197;Breitenleer Straße;G;0;Gesamt;Kfz;-29;-29;-29;-29;-29;-29;-29;-29;0.00.
2024;MÄRZ;1197;Breitenleer Straße;G;0;Gesamt;LkwÄ;-29;-29;-29;-29;-29;-29;-29;-29;0.00.
2024;MÄRZ;1198;Brünner Straße;B;7;Zentrum;Kfz;9014;9889;9638;9739;10449;9025;5327;10574;Fr,15.03.
2024;MÄRZ;1198;Brünner Straße;B;7;Zentrum;LkwÄ;388;512;524;530;460;188;67;596;Do,21.03.
2024;MÄRZ;1198;Brünner Straße;B;7;Wolkersdorf;Kfz;7639;8429;8152;8296;8973;7496;4463;9163;Fr,22.03.
2024;MÄRZ;1198;Brünner Straße;B;7;Wolkersdorf;LkwÄ;365;480;493;491;441;187;63;520;Do,07.03.
2024;MÄRZ;1198;Brünner Straße;B;7;Gesamt;Kfz;16653;18318;17789;18034;19422;16521;9790;19724;Fr,15.03.
2024;MÄRZ;1198;Brünner Straße;B;7;Gesamt;LkwÄ;753;992;1017;1021;901;374;130;1106;Do,21.03.
2024;MÄRZ;1199;Eßlinger Hauptstraße;B;3;Zentrum;Kfz;8680;9105;8722;8969;9739;8520;7056;10014;Fr,22.03.
2024;MÄRZ;1199;Eßlinger Hauptstraße;B;3;Zentrum;LkwÄ;543;691;734;701;635;259;202;774;Mo,18.03.
2024;MÄRZ;1199;Eßlinger Hauptstraße;B;3;Groß-Enzersdorf;Kfz;8508;8910;8552;8778;9514;8340;6985;9770;Fr,22.03.
2024;MÄRZ;1199;Eßlinger Hauptstraße;B;3;Groß-Enzersdorf;LkwÄ;508;650;674;659;610;241;179;717;Mo,18.03.
2024;MÄRZ;1199;Eßlinger Hauptstraße;B;3;Gesamt;Kfz;17188;18015;17274;17747;19253;16860;14041;19784;Fr,22.03.
2024;MÄRZ;1199;Eßlinger Hauptstraße;B;3;Gesamt;LkwÄ;1051;1342;1408;1360;1244;500;382;1491;Mo,18.03.
2024;MÄRZ;1200;Vorarlberger Allee West;G;0;Zentrum;Kfz;6182;7706;7823;7889;7173;3659;2303;8115;Do,21.03.
2024;MÄRZ;1200;Vorarlberger Allee West;G;0;Zentrum;LkwÄ;784;1067;1097;1102;959;239;137;1132;Mi,20.03.
2024;MÄRZ;1200;Vorarlberger Allee West;G;0;S1;Kfz;6316;7779;7681;7967;7405;3997;2489;8364;Do,28.03.
2024;MÄRZ;1200;Vorarlberger Allee West;G;0;S1;LkwÄ;876;1199;1194;1232;1123;259;140;1281;Di,05.03.
2024;MÄRZ;1200;Vorarlberger Allee West;G;0;Gesamt;Kfz;12497;15485;15504;15856;14578;7656;4792;16183;Do,21.03.
2024;MÄRZ;1200;Vorarlberger Allee West;G;0;Gesamt;LkwÄ;1660;2266;2291;2334;2082;499;277;2407;Di,05.03.
2024;MÄRZ;1201;Vorarlberger Allee Ost;G;0;Laxenburger Str.;Kfz;3306;4171;4088;4293;3943;1976;1007;4849;Do,28.03.
2024;MÄRZ;1201;Vorarlberger Allee Ost;G;0;Laxenburger Str.;LkwÄ;767;1039;1046;1074;946;247;145;1189;Do,28.03.
2024;MÄRZ;1201;Vorarlberger Allee Ost;G;0;S1;Kfz;3202;4052;4049;4096;3951;1931;900;4698;Do,21.03.
2024;MÄRZ;1201;Vorarlberger Allee Ost;G;0;S1;LkwÄ;634;859;897;876;788;199;121;1011;Di,19.03.
2024;MÄRZ;1201;Vorarlberger Allee Ost;G;0;Gesamt;Kfz;6508;8223;8137;8389;7894;3906;1906;9400;Do,21.03.
2024;MÄRZ;1201;Vorarlberger Allee Ost;G;0;Gesamt;LkwÄ;1400;1898;1943;1950;1735;447;266;2132;Di,19.03.
2024;MÄRZ;1202;Spange Vösendorf;G;0;Vösendorf;Kfz;6061;7144;7122;7162;7121;4891;2683;7445;Mo,18.03.
2024;MÄRZ;1202;Spange Vösendorf;G;0;Vösendorf;LkwÄ;405;562;591;590;474;94;53;649;Mi,20.03.
2024;MÄRZ;1202;Spange Vösendorf;G;0;S1;Kfz;5969;7065;6889;7084;7160;4856;2478;7386;Do,28.03.
2024;MÄRZ;1202;Spange Vösendorf;G;0;S1;LkwÄ;399;552;573;578;470;103;53;618;Do,21.03.
2024;MÄRZ;1202;Spange Vösendorf;G;0;Gesamt;Kfz;12030;14209;14012;14245;14282;9747;5161;14641;Di,19.03.
2024;MÄRZ;1202;Spange Vösendorf;G;0;Gesamt;LkwÄ;803;1114;1164;1168;944;196;106;1256;Mi,20.03.
2024;MÄRZ;1203;Maria-Theresien-Straße;G;0;Franz-Josef-Kai;Kfz;10684;11822;11487;12056;11526;9193;7400;12664;Mi,06.03.
2024;MÄRZ;1203;Maria-Theresien-Straße;G;0;Franz-Josef-Kai;LkwÄ;375;483;505;506;411;183;111;557;Mi,06.03.
2024;MÄRZ;1203;Maria-Theresien-Straße;G;0;-;Kfz;-29;-29;-29;-29;-29;-29;-29;-29;0.00.
2024;MÄRZ;1203;Maria-Theresien-Straße;G;0;-;LkwÄ;-29;-29;-29;-29;-29;-29;-29;-29;0.00.
2024;MÄRZ;1203;Maria-Theresien-Straße;G;0;Gesamt;Kfz;-29;-29;-29;-29;-29;-29;-29;-29;0.00.
2024;MÄRZ;1203;Maria-Theresien-Straße;G;0;Gesamt;LkwÄ;-29;-29;-29;-29;-29;-29;-29;-29;0.00.
2024;MÄRZ;1204;Türkenstraße;G;0;Währinger Straße;Kfz;14495;16359;16064;16720;15729;11687;9476;17542;Di,19.03.
2024;MÄRZ;1204;Türkenstraße;G;0;Währinger Straße;LkwÄ;410;550;574;572;479;147;88;630;Mi,06.03.
2024;MÄRZ;1204;Türkenstraße;G;0;-;Kfz;-29;-29;-29;-29;-29;-29;-29;-29;0.00.
2024;MÄRZ;1204;Türkenstraße;G;0;-;LkwÄ;-29;-29;-29;-29;-29;-29;-29;-29;0.00.
2024;MÄRZ;1204;Türkenstraße;G;0;Gesamt;Kfz;-29;-29;-29;-29;-29;-29;-29;-29;0.00.
2024;MÄRZ;1204;Türkenstraße;G;0;Gesamt;LkwÄ;-29;-29;-29;-29;-29;-29;-29;-29;0.00.
2024;MÄRZ;1205;Hernalser Hauptstraße;G;0;Zentrum;Kfz;8710;9024;8668;8957;9470;8594;7504;9810;Fr,22.03.
2024;MÄRZ;1205;Hernalser Hauptstraße;G;0;Zentrum;LkwÄ;190;248;248;262;215;91;42;295;Mi,06.03.
2024;MÄRZ;1205;Hernalser Hauptstraße;G;0;Dornbach;Kfz;7872;8230;7963;8244;8410;7559;6682;8796;Fr,22.03.
2024;MÄRZ;1205;Hernalser Hauptstraße;G;0;Dornbach;LkwÄ;193;253;263;267;211;79;54;314;Do,14.03.
2024;MÄRZ;1205;Hernalser Hauptstraße;G;0;Gesamt;Kfz;16582;17255;16631;17202;17880;16153;14186;18606;Fr,22.03.
