"ID","Nimetus","Liik","Staatus","Maakond","Tee nimi","Tee nr","Tee km","Lat","Lon","Kanalid ehk sõidurajad"
"38403","Puka","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Valga maakond","Jõhvi-Tartu-Valga tee","3","185.450","58.05153","26.19327","1: Tartu - Valga | 2: Valga - Tartu"
"","Põhjaranna","PERIOODILINE","Aktiivne: ei ole avaandmetes","Harju maakond","Muuga sadama tee","94","3.048","59.47159","24.98089",""
"34fba","Pärnu","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Pärnu maakond","Tallinna-Pärnu-Ikla tee","4","123.000","58.42247","24.49456","1: Tallinn - Pärnu | 2: Pärnu - Tallinn"
"d2421","Randvere","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Tallinna-Viimsi-Randvere tee","11250","0.621","59.50329","24.82813","1: Viimsi - Randvere | 1: Viimsi - Randvere 1 | 2: Viimsi - Randvere | 2: Viimsi - Randvere 2 | 3: Randvere - Viimsi | 3: Randvere - Viimsi 3 | 4: Randvere - Viimsi | 4: Randvere - Viimsi 4"
"","Rannamõisa","PERIOODILINE","Aktiivne: ei ole avaandmetes","Harju maakond","Tallinna-Rannamõisa-Kloogaranna tee","11390","10.04","59.44261","24.48853",""
"b79a0","Raukla","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Järva maakond","Türi-Arkma tee","26","6.000","58.7704","25.52185","1: Türi - Arkma | 2: Arkma - Türi"
"04adb","Reopalu","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Järva maakond","Pärnu-Rakvere-Sõmeru tee","5","85.515","58.86671","25.4935","1: Pärnu - Rakvere | 2: Pärnu - Rakvere"
"17ccd","Risti","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Lääne maakond","Ääsmäe-Haapsalu-Rohuküla tee","9","38.225","58.99847","24.08894","1: Ääsmae - Haapsalu | 2: Haapsalu - Ääsmae"
"09b0a","Ristiküla","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Pärnu maakond","Valga-Uulu tee","6","107.568","58.185","24.78972","1: Valga - Uulu | 2: Uulu - Valga"
"89907","Rohuküla","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Lääne maakond","Ääsmäe-Haapsalu-Rohuküla tee","9","78.989","58.91141","23.45355","1: Haapsalu - Rohuküla | 2: Rohuküla - Haapsalu"
"004a4","Rohuneeme","PÜSILOENDUSPUNKT","Aktiivne: on avaandmetes","Harju maakond","Viimsi-Rohuneeme tee","11251","0.953","59.51133","24.82058","1: Viimsi - Rohuneeme | 2: Rohuneeme - Viimsi"
"","Saku","PERIOODILINE","Aktiivne: ei ole avaandmetes","Harju maakond","Saku-Tõdva tee","11342","2.201","59.28221","24.66421",""
